"name","id"
"3 CON","1557"
"360 Lion Express","3142"
"3E Biotech","3979"
"3M","102"
"4 Pack","999"
"4p Logistic","3245"
"A.P. Plasman","19"
"A2MAC1","1563"
"Ab inBev  (Grupo Modelo)","3110"
"Abarrotes del Duero","200"
"Abastecedora Comercial","900"
"ABB","1783"
"ABC Group","784"
"Abrica","737"
"Absormex","1615"
"ABT","2006"
"Accel","262"
"Accument","1138"
"Accuride","550"
"ACE Manufacturing","2279"
"ACE Stamping","1343"
"Aceites y Lubricantes","2983"
"Acero Prime","138"
"Aceromex","954"
"Aceway","208"
"ACPS","830"
"Actinver","2764"
"Acuity Brands","44"
"ADAC Strattec","505"
"Adams Thermal","3471"
"Adelnor","1264"
"Ademsa","1733"
"Adient","452"
"ADM","1935"
"ADM Food","2746"
"Advaltech","214"
"Advance Energy Industries","3821"
"Advanex","693"
"Advics Manufacturing","474"
"Aermotor","2194"
"AFC Industries","3993"
"Afinex / ML","2154"
"AFL Telecom","3376"
"AG Industries","1230"
"AGM","305"
"AGP","2161"
"Agro Insumos","1387"
"AI Thermal","3591"
"AID","2059"
"AIM Soldaduras","740"
"AIM Solder Mexico","3974"
"Air International","856"
"Air Technology","144"
"Air Thermal","2082"
"Aisin Seiki","802"
"Ak Tube","614"
"AKG","2177"
"Akuver","3434"
"Al Super","1909"
"Alen","1210"
"Alesa","75"
"Alesba","1002"
"Algebasa","269"
"Alian","3609"
"Alian Plastics","274"
"Alibaba","3151"
"Aliexpress","3244"
"Align Tech","2728"
"Align Technology","106"
"Allgaier","525"
"Alliance Air","458"
"Almacenadora","2105"
"Almacenes Garcia","769"
"Almer","207"
"Almex","2032"
"Almond","238"
"Alorica","690"
"ALP Logistics","630"
"Alpha Recycling","2622"
"Alphacom","129"
"Alpla Gorup","3774"
"ALPS","587"
"ALPS Logistics","1049"
"Alpura","1540"
"Alsea","21"
"Also Ikawi","1048"
"Alstom Transp Mexico","663"
"Alsur","640"
"ALT Technology","1271"
"Aluminios Baja California","1573"
"Aluplast","3571"
"Am-mex","2117"
"Am-mex manufacturing","2707"
"Amada","1082"
"Amazon","36"
"Ambu","2007"
"Amcor","1716"
"AMD","1520"
"American Axle","3590"
"American Empack","1273"
"American Indistries","3696"
"American Poly","376"
"American Tubing","1038"
"American Woodmark","3307"
"Amersbury","136"
"Ametek","877"
"AMI PPM","294"
"AMII","1389"
"Amphenol","377"
"Amphenol / Thermometrics","2281"
"Amphenoll","736"
"AMPM","2766"
"Amvian","897"
"Anchor","1165"
"Anchor Bay","894"
"Anderton Casting","1838"
"Andrea","823"
"Android","298"
"Anixter","1927"
"Antolin","996"
"Anza Packaging","2941"
"Apard","814"
"APIC","2624"
"Aplus Logistic","3596"
"Aptar","4047"
"Aptiv","3497"
"Apymsa","3943"
"AR Papel","71"
"Arauco","1546"
"Arca","2371"
"Arca Continental","1937"
"Argos","205"
"Argos Electrica","3143"
"Argos Logisticsa","595"
"Arris","671"
"Arrow Electronics","1678"
"Artaban","119"
"ARZYZ","1722"
"Ashcroft","1810"
"Ashimari Mexico","956"
"Asia Way","3024"
"ASK Industries","3920"
"Aspen","3736"
"Aspen Aerogel","3010"
"Aspen Medical","287"
"Assa Abloy","873"
"Astrophysiscs","540"
"AT-MX","761"
"Athletic Sewing","3033"
"ATI","3876"
"Atlas Group","1572"
"Atlas Transportation","588"
"Atotech","1697"
"Atsumi Kogyo","1134"
"Aurora Technology","1032"
"Aurrenak","1021"
"Auto Industrial de Partes","3316"
"Auto Lineas America","1994"
"Autoliv","472"
"Automann","3950"
"Automotive Maquiladora","1255"
"Autoneum","42"
"Autoplastek","3296"
"Autotek","3411"
"Autozone","227"
"Avantti","3519"
"Avenger Flight Group","1366"
"Avent","1079"
"Avent - Avanos","1902"
"Avera","2803"
"Avery","1354"
"Avery Products","1312"
"Avior","1552"
"Avon Automotive","77"
"Avtron","3805"
"AVX","539"
"Axi Cocinas Integrales","1918"
"Axiomatek","751"
"Axionlog","1276"
"Axolotl","3265"
"Aztek Technologies","2676"
"B Match","2684"
"Bader","1003"
"Baichuan","1860"
"Baja Fullfilment","3070"
"Baja Fur","143"
"Baja Recycling","1436"
"Bajo Cero Frigorificos","1814"
"Ball","7"
"Balluff","3402"
"Banabox","177"
"Banner","293"
"Barcel","924"
"Basal","206"
"Basic","1423"
"Basic Logisticsa","1120"
"Basicos Partes y Asociados","571"
"Batom - Great Taiwan Lear","3530"
"Baude","859"
"Baxter","3981"
"BB Crossborder Solutions","3908"
"BBB","22"
"BD Medical","3581"
"Beautiful Windows","276"
"Beaver Visitec","552"
"Becton Dickinson","2400"
"Behr","642"
"Bekaert Deslee (Politel)","3643"
"Bekaert Textiles","103"
"Belmont","306"
"Benchmark","792"
"Benchmark Electronics","1944"
"Bend All","2151"
"Benecke Kaliko / Contitech","168"
"Bengon (Carton Box)","896"
"Benson","1225"
"Benteler","241"
"Benteng","2690"
"Bergstrom","1473"
"Bericap","1244"
"Best Sipping Ever","281"
"Bestech","334"
"Betterware","2065"
"Beyond Business","2318"
"BH","753"
"BIC","3433"
"Bill Forge","307"
"Bimbo","1811"
"Binex","1015"
"Bio Pharm","2064"
"Bio Rad Laboratories","2636"
"Biomasa","702"
"Biopapel","268"
"Biopharma","2759"
"Biorad","1953"
"Bioscents","2761"
"Birmex","3795"
"Bisell","1269"
"Bitron de Mexico","2705"
"bizLINK","1213"
"Black and Decker","1644"
"Blue Box","29"
"Blue Side","2751"
"Boardman","1016"
"Bobcat","4004"
"Bodor","1732"
"Bodycote","45"
"Boe Hefei","2230"
"Boeing Encore","3922"
"Boge Rubber","938"
"Bohn","3929"
"Bombardier","1544"
"Bonafont","503"
"Border Trade Logistics","3758"
"Borets International","3209"
"Borgwagner","210"
"Bos Automotive","888"
"Bosch","31"
"Bose","217"
"Bourns","3164"
"Box Industries","1529"
"Boyd Corporation (Tecma)","1802"
"Boysen","454"
"BPI","1905"
"BPI Distribution Mexico","2096"
"Brake Parts","2023"
"Branco Industries","3042"
"Brand & Push","2996"
"Brass Builders","662"
"Bravo Pack","3301"
"Brazos Trailer","3400"
"Breakpart","342"
"Brembo","781"
"Brenn","324"
"Brenta","1066"
"Brentwood","1020"
"Bri / Avkem","311"
"Bridgestone","1106"
"Brighstar","2091"
"Bright Machines","3253"
"BRK","1198"
"Broad Ocean","141"
"Broan Nutone","2790"
"Bromake","555"
"Brose","404"
"Brown Forman","1792"
"BRP","880"
"BSN Medical","291"
"BTL","2048"
"Build a Sign (Tecma)","3271"
"Burland (TECMA)","3975"
"BUT","3509"
"BWI","1910"
"BYDSA","1713"
"C&J Tech","846"
"CA Corporation","67"
"Cable Network","325"
"Cablemas","137"
"Cabopol","3712"
"CagoQuin","1784"
"Cajas de Carton Sultana","546"
"Cajeros","787"
"Cal - Mil Plastics","1009"
"Cali Resources","2000"
"Calibaja","3990"
"Call Services","569"
"Camex - Toyota tsusho","124"
"Camfri Innovating Logistics","2132"
"Campus Italia","970"
"Canature Water Group","1659"
"Canon","3789"
"Carcoustics","834"
"Cardinal Health","1888"
"Cardone","6"
"Carel","749"
"Carelab Farma","3775"
"Cargamos","2145"
"Cargo","670"
"Cargoquin","118"
"Cargoquin (3PL Services)","1995"
"CargoQuin 3PL","3034"
"Carl Zeis","3086"
"Carlo Gavazzi","3906"
"Carrier","400"
"Cartamundi","1829"
"Carthane","3508"
"Cartolito","1452"
"Cartones Ponderosa","2043"
"Carvajal","3314"
"Casa Cuervo","1589"
"Casapia ECS","1898"
"Castle Metals","1670"
"Caterpillar","10"
"CCA Logistics","951"
"CCM Acoustic","189"
"CCM Hokey","3703"
"Cebal","1088"
"Celestica","1043"
"CENN (Cenntro Electric Group)","3159"
"CenterLine","3930"
"Centracore","2727"
"Central","665"
"Centric","1175"
"Century Mold","192"
"Cepton Technologies","3806"
"Cequent","165"
"Ceraman Camax","2031"
"Cergil","3781"
"Certus Automotive","466"
"CEVA","158"
"CF Moto","3133"
"CFM","3871"
"CG Mexico","2354"
"CG Solutions","1430"
"Chang Sun Corporation","3534"
"Channel Products","3297"
"Charly","810"
"Cheersson","703"
"Chep","989"
"Chia Her","3955"
"Chint Electric","3928"
"CHS","744"
"Chulabrand","1070"
"Chumboom Aerosol","4044"
"CICE","3878"
"CIE Nugar","3672"
"Cigarrera","2984"
"Cikautxo","721"
"Cimsa Logistics","695"
"Circor","547"
"Citic Dicastal","2922"
"Citrasa","2087"
"CJ Korea Express","619"
"CJ Logistic","3536"
"CJ Logistica","1762"
"CJ Logisticso","868"
"Clarios Jhonson Control","2200"
"ClartonHorn","1151"
"Climatech","4020"
"Close the Loop","4060"
"CM Partners","2758"
"CMI Logisticsa","1046"
"CNC Global","1692"
"Coalimexa Alim Mex","746"
"Coast Aluminium","3284"
"Coat","2319"
"Coats Mexico","3205"
"Coavis","302"
"Coca Cola","366"
"Coficab","85"
"Coflex","2203"
"Colchones Luuna","2142"
"Colchones Wendy","2144"
"Colgate","2027"
"Collado","2005"
"Cololink","1329"
"Columbus","2785"
"Columbus Industries","1330"
"Columbus McKinnon","3367"
"Cometa Ideas","1667"
"Comex","974"
"Commscope","1401"
"Computime Mexicana","2769"
"Confidential","965"
"Confidential Medical","1941"
"Conform Group","851"
"Conmet","94"
"Connor  Metal Stamping","1486"
"Connor Metal Stamping","3527"
"Consentino","1242"
"Constellium","658"
"Constructora","650"
"Contec","183"
"Contellation Brand","3532"
"Continental","419"
"Convatec","1087"
"Cool Bridge","2370"
"Cool Pack","624"
"Coopel","3172"
"Cooper Standadr","2188"
"Cooper Standard","380"
"Cooper Std","1179"
"Cooper Tires","427"
"Copel","1593"
"Copeland","605"
"Coplasco","2299"
"Coppel","62"
"Corchomex","3917"
"Cordis de Mexico","2734"
"Core Cover","1826"
"Cornelius","1764"
"Corning","759"
"Corning Optical","446"
"CoroPlast","1505"
"Corrubox","971"
"Corrugados","871"
"Corrugados Logo","920"
"Corrumex","1946"
"Cosmeticos 5+1","1986"
"Cosmx","3949"
"Coto Technology","3808"
"Cover Supply","3982"
"Covert Craft","3810"
"Cozzini","397"
"CP Empaques","1072"
"CPI","2398"
"CPI (Automotive)","2757"
"Creative Foam","667"
"CRI de Mexico","3594"
"Criotec","1094"
"Crossdock","1625"
"Cryptex","1125"
"CTA","1374"
"CTS","3427"
"CTS Global","3888"
"Cummins","3179"
"Cuprum","1136"
"Current Power","3506"
"Currugated and Packaging","519"
"Custom Cabinets","1900"
"Custum Profile","2166"
"CVA","3229"
"CVG","167"
"CVS","1515"
"CW Logistics (Crane)","254"
"CWL Global Logistics","2778"
"Dachser","3539"
"Daclaf Pharm","2753"
"Dae Young","3453"
"Daedong","3619"
"Daehan","162"
"Daewon","194"
"Daewon Chemical","3304"
"Daewoo","2336"
"Daeyeong Mexico","223"
"Daher","876"
"Daikin","2966"
"Daimay","1118"
"Daimer","2619"
"Daimler","943"
"Dalite Group","3874"
"Damco","180"
"Damco Logistics","1770"
"Dana","2109"
"Danfoss","3036"
"Danhil Containers","348"
"Dankel","3752"
"Danone","328"
"Dasza","3255"
"Dataproducts","803"
"David Zapien","1408"
"Dawn Food","738"
"Daycon","3322"
"Daye","3340"
"Dayligth Corrugated","1345"
"Daymay","582"
"Dayton","1559"
"DB Shenker","32"
"DBM Optix","2035"
"DDF","1747"
"DDS","239"
"De Acero","1141"
"De Rosel","175"
"Deco Cookies","3866"
"Decoracion Colonial","354"
"Del Bravo","3573"
"Delastek","1372"
"Delfingen","1433"
"Delphi","549"
"Dematic","318"
"Demotechnic","850"
"Desamex","2083"
"Detroit Axle","1753"
"DGS","1566"
"DHL","198"
"Diada","1921"
"Diageo","430"
"Dialight","1204"
"Diamond Electronics","132"
"Dicex","2353"
"Dicka Logistica","3173"
"Dicka Logistics","493"
"Diebold","2990"
"Diehl Control","1556"
"Diga","1060"
"Digit Metal Stamping","2331"
"Diken","3073"
"Dimer","2123"
"Dimesa","1543"
"Diseno y Transformaciones","3856"
"DK Ramos","23"
"DLH Bowel","424"
"Dometic","1282"
"Domio printing","2754"
"Donaldson","1337"
"Dong Yang Piston","81"
"Dong-AH Electric Components","373"
"Dongkook","3713"
"Dongkuk Steel","2939"
"Doolim","1388"
"Dowa","511"
"Dowa Metaltech","902"
"DPTC","1737"
"Draexlmaier","495"
"Dragon Trade Import","3991"
"Dripless","3816"
"DS Texfles","577"
"DSBJ","3193"
"DSV","828"
"DTR","2375"
"Dupont Pionner","622"
"Dupuis","1781"
"Duqueine","309"
"Durable Superior Caster","1192"
"Durabox","1086"
"Dynacast","696"
"Dynatect","3289"
"E.G.O.","3622"
"Easy Way Products","544"
"Eaton","485"
"Eberspaecher- Purem","1596"
"Ebex Logistic","1483"
"Ebex Logistics","1008"
"EC Demim","1775"
"ECI","682"
"ECM","3186"
"ECM Induistries","1893"
"Ecofrio","1168"
"ED Logistics","2608"
"ED Logisticsa","174"
"EDAG","270"
"Edcsha","1045"
"Edscha","494"
"Efform","147"
"EG Logistics","1632"
"EGA Kat Log","3790"
"Egelhof","4022"
"Eiffel","1394"
"Ejot","344"
"Ekide","1370"
"EKK Eagle Industry","578"
"El Sardinero","774"
"Elastomix","962"
"Electrical Components International(ECI)","1247"
"Electrolux","1251"
"Elektra","755"
"Eletile","3763"
"Elica","842"
"Emco","1169"
"Emerson","1996"
"Emerson White Rodger","2774"
"Emicol","1609"
"Emo Logistics","838"
"Empacadora La Merced","151"
"Empacadora Superior","1924"
"Empaques Modernos","2094"
"Empaques Rio Grande","195"
"Empresas Bengon (Carton Box)","575"
"Empresas de Telecomunicaciones","1026"
"Encore (Boeing)","3413"
"Endygo","1920"
"Engel","4063"
"Engstone","2681"
"Envases Universales","3234"
"Envesta","3956"
"Envia Flores","2630"
"EP Logistics","280"
"Epic","456"
"Erae","653"
"Ergomotion (tecma)","1821"
"Esfevon","564"
"Eson","3212"
"Essentra","3249"
"Essilor","2951"
"Estafeta","283"
"Estapack","3113"
"Estee Lauder","3230"
"Esterline","86"
"Estructura Diva","1393"
"Estudio Color","3778"
"Etipress","3312"
"Euro Group Company","581"
"Eurotransiatura Mexico","3931"
"Evco","731"
"Evco Plastics","1428"
"Evertis Packaging","1655"
"EVSA","3139"
"Exel Logistics","1347"
"Exemplis","1127"
"EZ Air","1669"
"Ezzi","300"
"Fabcast","3768"
"Fabrica de Vidrio Potosi","4049"
"Fabricair","3585"
"Fabuwood","4017"
"Facil Be","1896"
"Factoria","2312"
"Fagerdala","1405"
"Fanasa","319"
"Fanuc","381"
"Fapsa","47"
"Farmacias Roma","2119"
"Farmacias San Pablo","1358"
"Farmacias Similares","1053"
"Farmasi","2358"
"Fastenal","3446"
"Faurecia","43"
"Faurecia I","2779"
"Faurecia II","2780"
"Faurecia III","3565"
"Fawer","1861"
"FCTA","1904"
"Federal Mogul","88"
"Federal Pacific","3221"
"Fedex","471"
"Fehrer","862"
"Femsa","267"
"Festos (Faurecia)","3756"
"Fevisa","3811"
"Fibremex","559"
"Ficosa","3638"
"Filtran","304"
"FIMA","1438"
"Final Feet","1819"
"First Mold","3762"
"Fives Group","3041"
"Flex","1742"
"Flexi","1504"
"Flexible Packaging","1348"
"Flexitech","1835"
"Flexsteel","1892"
"Flextronics","1493"
"Fluid Master","3037"
"Flux Metals","1484"
"Foam Creations","1503"
"Foam de Mexico","1289"
"Fong Chen","3687"
"Food Tailers","1863"
"Foodliner","741"
"FootPrint","1075"
"For Promotional","3141"
"Ford","2638"
"Forefront Medical","3660"
"FORI","1523"
"Formation3","2392"
"Forms","1327"
"Fow","1619"
"Foxconn","1806"
"Foxconn (Ingrasys)","3645"
"Foxxcon","1128"
"Fraenkische","317"
"Fram Group","570"
"Franke","3123"
"Franklin Electric","645"
"Franslux","3545"
"Fresenius Medical","378"
"Freudemberg","1437"
"Freudenberg","4045"
"Frialsa","783"
"Friccion Tech","1492"
"Frigus Bohn","2273"
"Frisa","984"
"Frontier","1265"
"Fruitex de Mexico","3776"
"FT Mex","1069"
"Fubrana","2702"
"Fuji Oozx","164"
"Fumari","1761"
"Fundacion RJC","732"
"Funwick","3715"
"Furikawa","160"
"Furukawa","923"
"FWD Logistics","1489"
"FWS","142"
"FWS - Lexmark","1605"
"G - Global","1720"
"G Global","1233"
"G-Global","3300"
"G-One","149"
"G&W Electronics","3862"
"Gabriel TXPRO","2058"
"GAIA","2101"
"Galo","285"
"Galo Shipping","278"
"Galpa","2139"
"Gamesa","2133"
"Gasca","1383"
"Gate Gourmet","1376"
"Gates","2981"
"Gbox","145"
"GE","1196"
"GE Oil","133"
"Gear for Sport","457"
"Gecko Alliance","1848"
"Gedney Foods","3614"
"Geiger","339"
"Genasco","350"
"General Electric","955"
"General Foam","24"
"General Motors","1"
"Genesis","3355"
"Gentherm","476"
"Geodis Wilson","48"
"Georg Fischer","1462"
"GEPP","1876"
"Gergonne","1990"
"Gestamp","3131"
"Getrag","2"
"GFI","1071"
"Ghoner","1404"
"GHSP","2326"
"Gissing","2053"
"GKN","25"
"GKN Aerospace","3403"
"Glint","1415"
"GLN","3050"
"Global Jeonjin","3040"
"Global Logistics","3382"
"Global Trade","698"
"Global Trade Logistics","225"
"GM","1121"
"Go Global","567"
"Gobierno de Gto","2198"
"Gobierno de Zapopan","2069"
"Gohsyu","66"
"Golden Foods","1955"
"Goncalves","266"
"Gondi (Rock Tenn)","407"
"Gonher","916"
"Goode Eis","3418"
"Goodyear","421"
"Gotech","1763"
"Grainger","972"
"Graphic Society","197"
"Grayling","502"
"GRC","1011"
"Greatbatch","72"
"Green Bay","109"
"Greiner Assitec","1463"
"Grifi","529"
"Grisi","440"
"Grote","2360"
"Group O","2955"
"GRS","2658"
"Gruma","20"
"Grupo Alianza","3662"
"Grupo Antolin","1013"
"Grupo Arcoiris","2931"
"Grupo Axo","441"
"Grupo Carso","169"
"Grupo Cice","2648"
"Grupo Copo","1186"
"Grupo Dekko Mexico","1262"
"Grupo ED","2141"
"Grupo Huang - Yu","885"
"Grupo Industrial JM","3243"
"Grupo Modelo","1400"
"Grupo Porteo","1431"
"Grupo Rosmar","1794"
"Grupo SID","30"
"Grupo Traxion","3651"
"Grupo Traxxion","1638"
"Grupo WIC","982"
"Grupo Zorro Abarrotero","11"
"GSW","64"
"GT Logistics","2807"
"GTL","3091"
"Guala Dispensing","2054"
"Guhring","184"
"Gulfstream","3842"
"Guntner","277"
"GVS","1467"
"GXO","3578"
"GXO Logistic","3977"
"H & T","3675"
"Haemotronic / Ravisa","558"
"Haeng Sung","1836"
"Hajime","1301"
"Hakkai","250"
"Hal Aluminum","12"
"Haldex","2269"
"Halla Visteon","126"
"Halo","542"
"Hamko","390"
"Hammond Power Solutions","218"
"Hamsa","232"
"Hanil Automotive","14"
"Hanil Electronics","3924"
"Hanju","655"
"Hankook","3691"
"Hankook Tire","811"
"Hanon System","461"
"Hanseatik","2086"
"Hanso de Mexico","1469"
"Hanwa Steel","253"
"Hanwha","112"
"Hapy","1618"
"Harbin Proteins","752"
"Harmac Medical Products","3093"
"Harman","76"
"Harman Kardon","1561"
"Hasbro","1111"
"Hatch Stamping","163"
"Hayakawa Electronics","700"
"HB Fuller","3942"
"HBG Corp","1223"
"HBPO","934"
"HCMF","3900"
"HCP Packaging","3286"
"HCQ","1685"
"HD Electronics","1364"
"HEB","3491"
"Hegel","2138"
"Heieneken","2775"
"Heilind","1514"
"Heineken","401"
"Heler Termoplasticos","3714"
"Hella Automotive","233"
"Hellerman Tyton","535"
"Hellermann Tyton","345"
"Hellman Worlwide Logistics","935"
"Hellmann","3960"
"Helm","1684"
"Henco","945"
"Hengli","3067"
"Henkel","486"
"Herbalife","1872"
"Herdez","362"
"Herfrasa","1683"
"Hexagon","1701"
"HFI","358"
"Hi-Lex","2172"
"Hilex Control","3987"
"Hillenbrand","3479"
"Hilti","2159"
"Hirotec Tooling","918"
"Hisense","3320"
"Hisense 1","2687"
"Hisense 2","2688"
"Hisun Motors","3059"
"Hitachi","8"
"Hitachi Energy","4018"
"Hjic","3721"
"HK Tairiu Electronics","3618"
"HNI","2291"
"Hodgen Technologies","3837"
"Hoffman Group","331"
"Holdbox","436"
"Home Depot","1760"
"Homemake","1976"
"Honeywell","3430"
"Hongji Metal","3723"
"Horaizon Plastics","629"
"Horizon","4068"
"Houston Foam Plastics (Tecma)","1822"
"Hoymiles","3417"
"HRCS","742"
"HSAM","620"
"HSAN","908"
"Huade","3860"
"Huajie","1772"
"Huasion","4025"
"Huawei","1948"
"Hubell","3303"
"Hufcor","1851"
"Hunter","704"
"Hunter Douglass","1787"
"Hunter Industries","3854"
"Hussman","4064"
"Hutchinson","3396"
"Hwaseung","199"
"Hydro Precision Tubing","2044"
"Hyster Yale","1528"
"Hyundae Polytech","526"
"Hyundai","844"
"Hyundai Material","610"
"IACNA","371"
"Ibarra","836"
"IBI (International Brakes)","2245"
"IBLS","987"
"IBX Mft","3870"
"Icon Aircraft","423"
"Icon Hydraulic","437"
"ICS","392"
"IDL","1054"
"IDL Logistic","1691"
"IEWC","964"
"Iimak","296"
"Ikano","1518"
"IKD","2382"
"ILAS","1386"
"Illux","2752"
"ILN","1047"
"Ilpea","108"
"ILS","1360"
"Ilsco","1906"
"IMG LLC","3896"
"IMI","333"
"IMI (Integrated Micro Electronics)","247"
"IMI Norgren","1926"
"iMile","3503"
"Immex","346"
"IMMI","1270"
"Imp","2253"
"Impco","1073"
"Imperial Auto","3685"
"Imperial Toy","794"
"Impreso RTM","927"
"Impresos Tecnograficos","1867"
"Impro Precision","683"
"Impulso al Crecimiento","115"
"Inalsa","1263"
"Incell","1290"
"Indelpa","2085"
"Indio Products","890"
"Inditex","3968"
"Indukern","2248"
"Induspac","330"
"Industrial Medico","870"
"Infinitum Electric","3718"
"Infinity Nissan","413"
"Ingram","1656"
"Inix","216"
"Injectronic","1917"
"Injelic","3292"
"Injemex Autopartes","359"
"Innomex","2334"
"Innova","2097"
"Innova Sport","1429"
"Innovative Automation Solutions","1385"
"Inoac","2264"
"Inox","3065"
"Intcomme Logistics","1993"
"Integrity Tool & Mold","460"
"Interconnect (NAPS)","3109"
"Intermek","209"
"Intermex","4058"
"International Brakes","1648"
"International Supply","2017"
"Intersep","93"
"Inteva","420"
"Intica System","634"
"Intralox","3939"
"Inventec","882"
"Inventronics","1657"
"Invisible System","1913"
"INX","2797"
"Inzi Display","825"
"Ipar Mold","990"
"IQA","978"
"Iron Mountain","3737"
"Irving","1170"
"Ise Metal","1050"
"Isewan","191"
"Isgo","1587"
"Ishimitsu Industry","907"
"Isobolta","626"
"Israeli Manufacturing","2022"
"ISRI","83"
"Isringhausen","2756"
"Italika","530"
"Item Sur","3120"
"Iter Americana","365"
"Itron","1724"
"ITT Industries Motion Technologies","432"
"Ivemsa - World Depot","2226"
"Ivex Packaging","243"
"Izzi","668"
"J and S","1576"
"J and Y Foam","1699"
"J Cox","899"
"J K Cabinetry","1650"
"Jabil","444"
"JAC Products","4046"
"Jacuzzi","1167"
"Jadebox","3734"
"Jamerr","3018"
"Jarlin","1620"
"Javentures","930"
"Jaztea","3814"
"JCI","3827"
"JCK Plastics","1847"
"JCox","1708"
"JD Group","1757"
"JDD Tech","3480"
"Jetai Mexico Packing","3905"
"JHR","3449"
"Jiahua Chemicals","3717"
"Jiaxipera","3428"
"Jinjang","3731"
"JJR","1800"
"JNM de Mexico","475"
"John Deere","2925"
"Johnson Controls","63"
"Jonathan Lewis Furniture","65"
"Joncen","3701"
"Jones Plastics","1511"
"Jones Sign","1298"
"Joybird Nest","2255"
"Joyson Safety","1870"
"Joysonquin Automotive","3366"
"JP Express","2637"
"JS Manufactura","349"
"JS Manufacture","1368"
"JSP","3859"
"Judd Wire","3647"
"Jugos del Valle","508"
"Juguetes Famosa","2357"
"Julian Electric","322"
"Julong","3610"
"Jumex","1232"
"Jusda","3741"
"Jusda Logistic","1603"
"Justo","2627"
"JV and H","1942"
"K Chemical","79"
"K-Flex","1453"
"K-Tech","1007"
"K&N","166"
"K+N","299"
"Kalkai","3946"
"Kamax","1259"
"Kanepackage","1081"
"Kasco","3317"
"Kathion","337"
"Kaufmman","1019"
"Kautex","326"
"Kavak","1734"
"Kawasaki","1629"
"KB Component","2316"
"KC Jones Plating","327"
"Keats de Mexico","2061"
"Kellogs","1698"
"Kemin","2773"
"Kenit Recycling","1825"
"Kenshi","1675"
"Kern - Liebers","123"
"Kern Liebers","521"
"Kerr Industries","3488"
"KET Engineered","2037"
"Kewen","1314"
"Key Quimica","1340"
"Key Safety System","960"
"KeyQuimic","1738"
"Keytronics","2189"
"KHI Building","3025"
"Kimball Electronics","2362"
"Kimberly Clark","1608"
"King Castle","1795"
"King Machine","895"
"Kirchhoff","3524"
"Kleen Bebe","847"
"Kloeckner","3941"
"Kloeckner Metals","1702"
"Kmin","113"
"KNW","110"
"KOA Automotive","3711"
"Koam","96"
